seed,dimension,epsilon,direct,balanced,coverage,error
161,4,0.413,0.0897653661601,0.0897653661601,0.154095582276,2.77555756156e-17
162,5,0.071,0.02726262378,0.02726262378,0.02726262378,5.55111512313e-17
163,6,0.217,0.0274567745893,0.0274567745893,0.0274567745893,4.16333634234e-17
164,3,0.413,0.0957934883392,0.0957934883392,0.0957934883392,6.93889390391e-17
165,4,0.071,0.0454639030307,0.0454639030307,0.0454639030307,7.6327832943e-17
166,5,0.217,0.0804418710558,0.0804418710558,0.0804418710558,4.16333634234e-17
167,6,0.413,0.098380021776,0.098380021776,0.141572545946,2.77555756156e-17
168,3,0.071,0.0782866920851,0.0782866920851,0.0782866920851,5.55111512313e-17
169,4,0.217,0.0569621956696,0.0569621956696,0.0569621956696,8.32667268469e-17
170,5,0.413,0.040505211357,0.040505211357,0.0787725975629,6.93889390391e-17
171,6,0.071,0.0283722721864,0.0283722721864,0.0283722721864,6.24500451352e-17
172,3,0.217,0.0473538123585,0.0473538123585,0.0473538123585,6.93889390391e-17
173,4,0.413,0.0868953306041,0.0868953306041,0.0868953306041,1.2490009027e-16
174,5,0.071,0.0115400778668,0.0115400778668,0.0115400778668,7.2858385991e-17
175,6,0.217,0.0289651583935,0.0289651583935,0.0289651583935,8.32667268469e-17
176,3,0.413,0.111667608424,0.111667608424,0.111667608424,1.2490009027e-16
177,4,0.071,0.0264081913613,0.0264081913613,0.0264081913613,6.93889390391e-17
178,5,0.217,0.0572415107922,0.0572415107922,0.0572415107922,6.93889390391e-17
179,6,0.413,0.0251990401041,0.0251990401041,0.0251990401041,7.97972798949e-17
180,3,0.071,0.0856733228177,0.0856733228177,0.0856733228177,2.77555756156e-17
181,4,0.217,0.035331143591,0.035331143591,0.035331143591,8.32667268469e-17
182,5,0.413,0.0686644788486,0.0686644788486,0.13656103432,0
183,6,0.071,0.0347700815434,0.0347700815434,0.0347700815434,1.17961196366e-16
184,3,0.217,0.075197931937,0.075197931937,0.075197931937,2.77555756156e-17
185,4,0.413,0.0440882953731,0.0440882953731,0.0870144816014,4.85722573274e-17
186,5,0.071,0.0480518921142,0.0480518921142,0.0480518921142,1.45716771982e-16
187,6,0.217,0.0159941370516,0.0159941370516,0.0159941370516,5.89805981832e-17
188,3,0.413,0.154620219281,0.154620219281,0.154620219281,2.49800180541e-16
189,4,0.071,0.0321791210444,0.0321791210444,0.0321791210444,1.80411241502e-16
190,5,0.217,0.0373890204275,0.0373890204275,0.0373890204275,1.38777878078e-16
191,6,0.413,0.0633360359622,0.0633360359622,0.0633360359622,2.77555756156e-17
192,3,0.071,0.0198804498405,0.0198804498405,0.0198804498405,8.32667268469e-17
193,4,0.217,0.0204577142177,0.0204577142177,0.0204577142177,4.16333634234e-17
194,5,0.413,0.059609790677,0.059609790677,0.0783430306398,1.5959455979e-16
195,6,0.071,0.0190636758033,0.0190636758033,0.0242483813163,1.04083408559e-17
196,3,0.217,0.0918345405651,0.0918345405651,0.0918345405651,1.11022302463e-16
197,4,0.413,0.0462422999184,0.0462422999184,0.0462422999184,1.2490009027e-16
198,5,0.071,0.0656414267687,0.0656414267687,0.106116546889,5.55111512313e-17
199,6,0.217,0.0438184160918,0.0438184160918,0.0438184160918,5.55111512313e-17
200,3,0.413,0.11021361543,0.11021361543,0.130552862619,1.94289029309e-16
201,4,0.071,0.060499680738,0.060499680738,0.060499680738,4.16333634234e-17
202,5,0.217,0.0596661967202,0.0596661967202,0.0679781814509,5.55111512313e-17
203,6,0.413,0.0661062036894,0.0661062036894,0.0666329440778,1.38777878078e-16
204,3,0.071,0.0578499732887,0.0578499732887,0.0578499732887,6.24500451352e-17
205,4,0.217,0.0638876221902,0.0638876221902,0.0638876221902,5.55111512313e-17
206,5,0.413,0.0798137399915,0.0798137399915,0.0798137399915,2.77555756156e-17
207,6,0.071,0.0417102682511,0.0417102682511,0.0417102682511,2.77555756156e-17
208,3,0.217,0.226442546912,0.226442546912,0.226442546912,1.11022302463e-16
209,4,0.413,0.0369856688099,0.0369856688099,0.0465236818082,1.5959455979e-16
210,5,0.071,0.0389523441654,0.0389523441654,0.0389523441654,0
211,6,0.217,0.0225693844627,0.0225693844627,0.0389468219061,9.02056207508e-17
212,3,0.413,0.155800034478,0.155800034478,0.170926642812,8.32667268469e-17
